,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1432,603289,泰瑞机器,0.0987,0.0543,0.8307,0.1779,17.9758
1433,603963,大理药业,0.0987,0.0439,0.6055,0.1802,18.0956
1434,2345,潮宏基,0.0987,0.0564,1.0736,0.157,41.2941
1435,600828,茂业商业,0.0984,0.0651,1.0648,0.0995,17.8304
1436,2565,顺灏股份,0.0984,0.0487,1.6964,0.1288,15.4049
1437,603056,德邦股份,0.0983,0.3069,3.6608,0.58,59.7306
1438,600367,红星发展,0.0982,0.0752,1.3069,0.255,26.2366
1439,600726,华电能源,0.0979,0.035,,0.0392,5.897
1440,603980,吉华集团,0.0978,0.0503,0.5534,0.3678,38.7256
1441,300657,弘信电子,0.0978,0.0864,1.7793,0.1247,14.5047
1442,300468,四方精创,0.0978,0.0421,0.5632,0.2168,21.8379
1443,601010,文峰股份,0.0977,0.101,2.1872,0.3044,30.9555
1444,887,中鼎股份,0.0977,0.0749,0.9966,0.1516,32.6423
1445,2123,梦网集团,0.0977,0.0368,1.0028,0.1354,13.9297
1446,300037,新宙邦,0.0975,0.0478,0.6177,0.1425,15.2304
1447,2605,姚记扑克,0.0975,0.0332,0.8003,0.213,21.2985
1448,2229,鸿博股份,0.0975,0.0321,5.2266,0.1949,20.8886
1449,603986,兆易创新,0.0974,0.0768,0.4973,0.2419,35.7108
1450,300057,万顺股份,0.0973,0.056,3.462,0.1127,12.3274
1451,603023,威帝股份,0.0972,0.0314,0.2823,0.3531,35.3125
1452,300109,新开源,0.0968,0.0241,0.5103,0.072,7.3718
1453,603013,亚普股份,0.0968,0.1256,1.9085,0.2096,26.9193
1454,2343,慈文传媒,0.0967,0.0299,0.3913,0.0599,7.119
1455,2422,科伦药业,0.0964,0.0394,1.3593,0.0689,9.2713
1456,300205,天喻信息,0.0963,0.1015,16.2389,0.2987,31.2136
1457,300274,阳光电源,0.0963,0.0526,0.8433,0.0927,10.8564
1458,600997,开滦股份,0.0962,0.0793,3.1073,0.1564,25.1261
1459,600208,新湖中宝,0.0962,0.0135,0.5024,0.0184,4.5096
1460,37,深南电A,0.0962,0.0682,521.9093,0.229,25.7328
1461,601106,中国一重,0.0959,0.0295,13.0165,0.0438,5.7807
1462,300632,光莆股份,0.0959,0.0691,0.9091,0.2735,28.1937
1463,603385,惠达卫浴,0.0959,0.0647,1.037,0.284,34.0397
1464,603860,中公高科,0.0958,0.0266,0.3847,0.1445,23.2983
1465,600098,广州发展,0.0957,0.0612,2.6374,0.1222,27.8656
1466,603063,禾望电气,0.0955,0.0298,0.3605,0.1946,21.4854
1467,603890,春秋电子,0.0953,0.0749,1.0363,0.1878,19.1623
1468,2085,万丰奥威,0.0953,0.0965,0.9697,0.2758,35.6414
1469,516,国际医学,0.0952,0.0662,1.9634,0.1755,18.687
1470,300066,三川智慧,0.0951,0.0322,0.7056,0.3091,36.9132
1471,603989,艾华集团,0.0949,0.073,0.5818,0.3694,38.3795
1472,603380,易德龙,0.0949,0.087,0.856,0.3352,34.005
1473,600587,新华医疗,0.0949,0.0762,6.3585,0.1141,12.3514
1474,2858,力盛赛车,0.0948,0.0561,0.6111,0.4551,45.5079
1475,2048,宁波华翔,0.0948,0.0866,1.2045,0.1921,21.8951
1476,300074,华平股份,0.0947,0.0271,1.2896,0.1126,12.4057
1477,300724,捷佳伟创,0.0946,0.046,0.4628,0.0724,7.2931
1478,2715,登云股份,0.0946,0.0463,3.6102,0.1455,15.1105
1479,603113,金能科技,0.0943,0.1184,0.9246,0.4336,62.0379
1480,418,小天鹅A,0.0943,0.0945,1.1799,0.1536,15.3835
1481,2742,三圣股份,0.0943,0.0423,0.9452,0.0689,11.1303
1482,2246,北化股份,0.0941,0.059,1.8814,0.2084,23.0275
1483,2059,云南旅游,0.094,0.0319,1.3529,0.0535,5.7018
1484,2655,共达电声,0.094,0.0673,,0.117,12.2837
1485,2402,和而泰,0.0939,0.0884,1.0159,0.2449,24.5123
1486,603686,龙马环卫,0.0938,0.075,1.0604,0.1805,19.0251
1487,603032,德新交运,0.0936,0.0376,0.6888,0.3298,54.7315
1488,2662,京威股份,0.0936,0.0491,1.6432,0.0941,14.6483
1489,600121,郑州煤电,0.0936,0.0475,0.6254,0.078,7.9805
1490,2046,轴研科技,0.0934,0.0373,3.2392,0.0918,11.1942
1491,2867,周大生,0.0933,0.081,0.5993,0.3551,35.9824
1492,300386,飞天诚信,0.0933,0.0523,0.9884,0.3328,48.2638
1493,661,长春高新,0.093,0.0519,0.4111,0.1773,19.3236
1494,300668,杰恩设计,0.093,0.054,0.3733,0.4964,50.0869
1495,600165,新日恒力,0.0927,0.0503,2.8116,0.0905,9.0523
1496,300423,鲁亿通,0.0927,0.0337,0.8857,0.1015,10.1535
1497,2802,洪汇新材,0.0926,0.0551,0.4989,0.7487,101.0819
1498,2303,美盈森,0.0924,0.0445,0.7661,0.179,18.8906
1499,300218,安利股份,0.0921,0.0705,,0.1515,19.1729
1500,2909,集泰股份,0.092,0.0895,1.6312,0.2172,22.3932
1501,600609,金杯汽车,0.092,0.0893,1.478,0.1045,15.9837
1502,807,云铝股份,0.0918,0.0566,2.8359,0.0815,10.934
1503,601969,海南矿业,0.0918,0.0326,4.4677,0.09,10.7075
1504,600120,浙江东方,0.0915,0.044,1.1333,0.1001,11.6302
1505,600781,辅仁药业,0.0915,0.0537,0.6842,0.1017,11.9568
1506,2092,中泰化学,0.0914,0.0675,1.5301,0.1029,14.7767
1507,981,银亿股份,0.0913,0.0264,0.6974,0.0457,7.3347
1508,931,中关村,0.0912,0.0435,3.6451,0.0854,10.286
1509,2873,新天药业,0.091,0.0725,0.9386,0.2649,30.2059
1510,300305,裕兴股份,0.0909,0.034,0.7787,0.3917,45.3533
1511,300007,汉威科技,0.0909,0.0307,0.8795,0.0553,9.9092
1512,601886,江河集团,0.0908,0.0576,2.3486,0.0843,8.54
1513,300573,兴齐眼药,0.0908,0.0483,0.8507,0.2656,35.4958
1514,2063,远光软件,0.0908,0.0429,0.6427,0.268,31.0749
1515,601500,通用股份,0.0907,0.0852,2.3162,0.2419,25.5223
1516,603178,圣龙股份,0.0907,0.0678,1.3004,0.1153,14.8292
1517,300743,天地数码,0.0901,0.1068,0.762,0.2191,30.7465
1518,603790,雅运股份,0.0901,0.0957,0.6903,0.4281,43.0046
1519,300729,乐歌股份,0.0901,0.0614,1.0723,0.1645,18.9657
1520,603728,鸣志电器,0.0901,0.0676,0.8832,0.3063,30.635
1521,2695,煌上煌,0.0899,0.064,0.9054,0.4103,47.6282
1522,603855,华荣股份,0.0899,0.0554,1.0546,0.1359,13.5852
1523,536,华映科技,0.0899,0.0209,2.2146,0.0537,6.1487
1524,2150,通润装备,0.0898,0.0757,1.3374,0.3853,39.3257
1525,300339,润和软件,0.0897,0.0266,0.5817,0.0845,13.9338
1526,300084,海默科技,0.0895,0.0144,1.8146,0.0361,4.6137
1527,2861,瀛通通讯,0.0893,0.0542,0.7634,0.4419,46.9428
1528,778,新兴铸管,0.0893,0.0751,3.4573,0.1297,16.1129
1529,600479,千金药业,0.0891,0.0862,1.1492,0.2711,30.3372
1530,2066,瑞泰科技,0.089,0.0529,4.4957,0.0707,7.5758
1531,2455,百川股份,0.0889,0.0839,2.0947,0.1703,17.1452
1532,600110,诺德股份,0.0888,0.0362,1.0444,0.0584,7.4747
1533,601366,利群股份,0.0888,0.1199,2.3762,0.2855,29.8495
1534,300151,昌红科技,0.0887,0.0545,1.5363,0.4132,43.8191
